year,state,candidate,party,candidatevotes
1992,Iowa,Other,campaign for a new tomorrow,212
1992,Iowa,"Fulani, Lenora",new alliance,197
1992,Kansas,"Bush, George H.W.",republican,449951
1992,Kansas,"Clinton, Bill",democrat,390434
1992,Kansas,"Perot, Ross",independent,312358
1992,Kansas,"Marrou, Andre",libertarian,4314
1992,Kansas,,,179
1992,Kentucky,"Clinton, Bill",democrat,665104
1992,Kentucky,"Bush, George H.W.",republican,617178
1992,Kentucky,"Perot, Ross",independent,203944
1992,Kentucky,"Marrou, Andre",libertarian,4513
1992,Kentucky,"Phillips, Howard",taxpayers party,989
1992,Kentucky,"Hagelin, John",natural law,695
1992,Kentucky,"Fulani, Lenora",new alliance,430
1992,Kentucky,,,47
1992,Louisiana,"Clinton, Bill",democrat,815971
1992,Louisiana,"Bush, George H.W.",republican,733386
1992,Louisiana,"Perot, Ross",independent,211478
1992,Louisiana,"Gritz, James """"Bo""""",america first,18545
1992,Louisiana,"Marrou, Andre",libertarian,3155
1992,Louisiana,Other,equal justice and opportunity,1663
1992,Louisiana,"Phillips, Howard",taxpayers party,1552
1992,Louisiana,"Fulani, Lenora",more perfect democracy,1434
1992,Louisiana,"Larouche, Lyndon, Jr.","justice, industry, and agriculture",1136
1992,Louisiana,"Hagelin, John",natural law,889
1992,Louisiana,"Yiamouyiannis, John",independent,808
1992,Maine,"Clinton, Bill",democrat,263420
1992,Maine,"Perot, Ross",independent,206820
1992,Maine,"Bush, George H.W.",republican,206504
1992,Maine,"Marrou, Andre",libertarian,1681
1992,Maine,"Fulani, Lenora",new alliance,519
1992,Maine,"Phillips, Howard",taxpayers party,464
1992,Maine,Other,,91
1992,Maryland,"Clinton, Bill",democrat,988571
1992,Maryland,"Bush, George H.W.",republican,707094
1992,Maryland,"Perot, Ross",independent,281414
1992,Maryland,"Marrou, Andre",libertarian,4715
1992,Maryland,"Fulani, Lenora",new alliance,2786
1992,Massachusetts,"Clinton, Bill",democrat,1318639
1992,Massachusetts,"Bush, George H.W.",republican,805039
1992,Massachusetts,"Perot, Ross",independent,630731
1992,Massachusetts,"Marrou, Andre",libertarian,9021
1992,Massachusetts,"Fulani, Lenora",new alliance,3172
1992,Massachusetts,Other,independent voters,2218
1992,Massachusetts,Other,,1990
1992,Massachusetts,"Hagelin, John",natural law,1812
1992,Massachusetts,"Larouche, Lyndon, Jr.",larouche for president party,1027
1992,Massachusetts,"Brisben, J. Quinn",socialist party usa,13
1992,Massachusetts,"Dodge, Earl",prohibition,2
1992,Michigan,"Clinton, Bill",democrat,1871182
1992,Michigan,"Bush, George H.W.",republican,1554940
1992,Michigan,"Perot, Ross",independent,824813
1992,Michigan,"Marrou, Andre",libertarian,10175
1992,Michigan,"Phillips, Howard",tisch independent citizens,8263
1992,Michigan,"Hagelin, John",natural law,2954
1992,Michigan,"Halyard, Helen",workers world,1432
1992,Michigan,,,914
1992,Minnesota,"Clinton, Bill",democrat,1020997
1992,Minnesota,"Bush, George H.W.",republican,747841
1992,Minnesota,"Perot, Ross",independent,562506
1992,Minnesota,"Marrou, Andre",libertarian,3374
1992,Minnesota,"Gritz, James """"Bo""""",constitution party,3363
1992,Minnesota,"Herer, Jack",grassroots,2659
1992,Minnesota,,,2499
1992,Minnesota,"Hagelin, John",natural law,1406
1992,Minnesota,"Warren, James """"Mac""""",socialist workers,990
1992,Minnesota,"Fulani, Lenora",new alliance,958
1992,Minnesota,"Phillips, Howard",taxpayers party,733
1992,Minnesota,"Larouche, Lyndon, Jr.",independents for economic recovery,622
1992,Mississippi,"Bush, George H.W.",republican,487793
1992,Mississippi,"Clinton, Bill",democrat,400258
1992,Mississippi,"Perot, Ross",independent,85626
1992,Mississippi,Other,independent,4310
1992,Mississippi,"Marrou, Andre",libertarian,2154
1992,Mississippi,"Phillips, Howard",taxpayers party,1652
1992,Missouri,"Clinton, Bill",democrat,1053873
1992,Missouri,"Bush, George H.W.",republican,811159
1992,Missouri,"Perot, Ross",independent,518741
1992,Missouri,"Marrou, Andre",libertarian,7497
1992,Montana,"Clinton, Bill",democrat,154507
1992,Montana,"Bush, George H.W.",republican,144207
1992,Montana,"Perot, Ross",independent,107225
1992,Montana,Other,independent,3658
1992,Montana,"Marrou, Andre",libertarian,986
1992,Nebraska,"Bush, George H.W.",republican,343678
1992,Nebraska,"Clinton, Bill",democrat,216864
1992,Nebraska,"Perot, Ross",independent,174104
1992,Nebraska,Other,independent,1560
1992,Nebraska,"Marrou, Andre",libertarian,1340
1992,Nevada,"Clinton, Bill",democrat,189148
1992,Nevada,"Bush, George H.W.",republican,175828
1992,Nevada,"Perot, Ross",independent,132580
1992,Nevada,"Gritz, James """"Bo""""",populist,2892
1992,Nevada,Other,,2537
1992,Nevada,"Marrou, Andre",libertarian,1835
1992,Nevada,"Phillips, Howard",independent american,677
1992,Nevada,"Fulani, Lenora",independent,483
1992,Nevada,"Hagelin, John",natural law,338
1992,New Hampshire,"Clinton, Bill",democrat,209040
1992,New Hampshire,"Bush, George H.W.",republican,202484
1992,New Hampshire,"Perot, Ross",independent,121337
1992,New Hampshire,"Marrou, Andre",libertarian,3548
1992,New Hampshire,"Fulani, Lenora",new alliance,512
1992,New Hampshire,"Hagelin, John",natural law,294
1992,New Jersey,"Clinton, Bill",democrat,1436206
1992,New Jersey,"Bush, George H.W.",republican,1356865
1992,New Jersey,"Perot, Ross",independent,521829
1992,New Jersey,"Marrou, Andre",libertarian,6822
1992,New Jersey,"Bradford, Drew",independent,4749
1992,New Jersey,"Fulani, Lenora",new alliance,3513
1992,New Jersey,"Phillips, Howard",taxpayers party,2670
1992,New Jersey,"Larouche, Lyndon, Jr.",6 million jobs,2095
1992,New Jersey,"Warren, James """"Mac""""",socialist workers,2011
1992,New Jersey,"Daniels, Ron",ron daniels independent,1996
1992,New Jersey,"Gritz, James """"Bo""""",america first populist,1867
1992,New Jersey,"Haylard, Helen",workers league,1618
1992,New Jersey,"Hagelin, John",natural law,1353
1992,New Mexico,"Clinton, Bill",democrat,261617
1992,New Mexico,"Bush, George H.W.",republican,212824
1992,New Mexico,"Perot, Ross",independent,91895
1992,New Mexico,"Marrou, Andre",libertarian,1615
1992,New Mexico,"Phillips, Howard",taxpayers party,620
1992,New Mexico,"Hagelin, John",natural law,562
1992,New Mexico,"Fulani, Lenora",new alliance,369
1992,New Mexico,"Warren, James """"Mac""""",socialist workers,183
1992,New Mexico,"La Riva, Gloria Estella",workers world,181
1992,New Mexico,"Dodge, Earl",prohibition,120
1992,New York,"Clinton, Bill",democrat,3346894
1992,New York,"Bush, George H.W.",republican,2041690
1992,New York,"Perot, Ross",independent,1090721
1992,New York,"Bush, George H.W.",conservative,177000
1992,New York,Blank Vote/Scattering,,152951
1992,New York,"Bush, George H.W.",right-to-life,127959
1992,New York,"Clinton, Bill",liberal party,97556
1992,New York,"Warren, James """"Mac""""",socialist workers,15472
1992,New York,"Marrou, Andre",libertarian,13451
1992,New York,"Fulani, Lenora",new alliance,11318
1992,New York,"Hagelin, John",natural law,4420
1992,North Carolina,"Bush, George H.W.",republican,1134661
1992,North Carolina,"Clinton, Bill",democrat,1114042
1992,North Carolina,"Perot, Ross",independent,357864
1992,North Carolina,"Marrou, Andre",libertarian,5171
1992,North Carolina,"Fulani, Lenora",new alliance,59
1992,North Carolina,"Hagelin, John",natural law,41
1992,North Carolina,"Warren, James """"Mac""""",socialist workers,12
1992,North Dakota,"Bush, George H.W.",republican,136244
1992,North Dakota,"Clinton, Bill",democrat,99168
1992,North Dakota,"Perot, Ross",independent,71084
1992,North Dakota,Other,,1637
1992,Ohio,"Clinton, Bill",democrat,1984942
1992,Ohio,"Bush, George H.W.",republican,1894310
1992,Ohio,"Perot, Ross",independent,1036426
1992,Ohio,Other,independent,24247
1992,Ohio,,,42
1992,Oklahoma,"Bush, George H.W.",republican,592929
1992,Oklahoma,"Clinton, Bill",democrat,473066
1992,Oklahoma,"Perot, Ross",independent,319878
1992,Oklahoma,"Marrou, Andre",libertarian,4486
1992,Oregon,"Clinton, Bill",democrat,621314
1992,Oregon,"Bush, George H.W.",republican,475757
1992,Oregon,"Perot, Ross",independent,354091
1992,Oregon,"Marrou, Andre",libertarian,4277
1992,Oregon,"Fulani, Lenora",new alliance,3030
1992,Oregon,Other,,2609
1992,Oregon,,,1565
1992,Pennsylvania,"Clinton, Bill",democrat,2239164
1992,Pennsylvania,"Bush, George H.W.",republican,1791841
1992,Pennsylvania,"Perot, Ross",independent,902667
1992,Pennsylvania,"Marrou, Andre",libertarian,21477
1992,Pennsylvania,"Fulani, Lenora",new alliance,4661
1992,Rhode Island,"Clinton, Bill",democrat,213299
1992,Rhode Island,"Bush, George H.W.",republican,131601
1992,Rhode Island,"Perot, Ross",independent,105045
1992,Rhode Island,"Fulani, Lenora",new alliance,1878
1992,Rhode Island,"Marrou, Andre",libertarian,571
1992,Rhode Island,"Larouche, Lyndon, Jr.",independents for larouche,494
1992,Rhode Island,"Hagelin, John",natural law,262
1992,Rhode Island,"Phillips, Howard",taxpayers party,215
1992,South Carolina,"Bush, George H.W.",republican,577507
1992,South Carolina,"Clinton, Bill",democrat,525514
1992,South Carolina,"Perot, Ross",independent,119257
1992,South Carolina,"Marrou, Andre",libertarian,2719
1992,South Carolina,"Phillips, Howard",american,2680
1992,South Carolina,"Fulani, Lenora",united citizens,1235
1992,South Dakota,"Bush, George H.W.",republican,136718
1992,South Dakota,"Clinton, Bill",democrat,124888
1992,South Dakota,"Perot, Ross",independent,73295
1992,South Dakota,"Marrou, Andre",libertarian,814
1992,South Dakota,Other,independent,539
1992,Tennessee,"Clinton, Bill",democrat,933521
1992,Tennessee,"Bush, George H.W.",republican,841300
1992,Tennessee,"Perot, Ross",independent,199968
1992,Tennessee,Other,independent,7688
1992,Tennessee,,,161
1992,Texas,"Bush, George H.W.",republican,2496071
1992,Texas,"Clinton, Bill",democrat,2281815
1992,Texas,"Perot, Ross",independent,1354781
1992,Texas,"Marrou, Andre",libertarian,19699
1992,Texas,,,1652
1992,Utah,"Bush, George H.W.",republican,322632
1992,Utah,"Perot, Ross",independent,203400
1992,Utah,"Clinton, Bill",democrat,183429
1992,Utah,"Gritz, James """"Bo""""",populist,28602
1992,Utah,"Marrou, Andre",libertarian,1900
1992,Utah,"Hagelin, John",natural law,1319
1992,Utah,"Larouche, Lyndon, Jr.",independents for economic recovery,1089
1992,Utah,"Fulani, Lenora",new alliance,414
1992,Utah,"Phillips, Howard",taxpayers party,393
1992,Utah,Other,american,292
1992,Utah,"Warren, James """"Mac""""",socialist workers,200
1992,Utah,"Daniels, Ron",campaign for a new tomorrow,177
1992,Utah,"Brisben, J. Quinn",socialist workers,151
1992,Vermont,"Clinton, Bill",democrat,133592
1992,Vermont,"Bush, George H.W.",republican,88122
1992,Vermont,"Perot, Ross",independent,65991
1992,Vermont,"Marrou, Andre",libertarian,501
1992,Vermont,,,488
1992,Vermont,Other,liberty union party,329
1992,Vermont,"Hagelin, John",natural law,315
1992,Vermont,"Phillips, Howard",taxpayers party,124
1992,Vermont,"Fulani, Lenora",new alliance,100
1992,Vermont,"Warren, James """"Mac""""",socialist workers,82
1992,Vermont,"Larouche, Lyndon, Jr.",freedom for larouche,57
1992,Virginia,"Bush, George H.W.",republican,1150517
1992,Virginia,"Clinton, Bill",democrat,1038650
1992,Virginia,"Perot, Ross",independent,348639
1992,Virginia,Other,independent,15129
1992,Virginia,"Marrou, Andre",libertarian,5730
1992,Virginia,,,464
1992,Washington,"Clinton, Bill",democrat,993037
1992,Washington,"Bush, George H.W.",republican,731234
1992,Washington,"Perot, Ross",independent,541780
1992,Washington,"Marrou, Andre",libertarian,7533
1992,Washington,"Gritz, James """"Bo""""",populist,4854
1992,Washington,"Hagelin, John",natural law,2456
1992,Washington,"Phillips, Howard",taxpayers party,2354
1992,Washington,Other,independent,2026
1992,Washington,"Fulani, Lenora",new alliance,1776
1992,Washington,"Warren, James """"Mac""""",socialist workers,515
1992,West Virginia,"Clinton, Bill",democrat,331001
1992,West Virginia,"Bush, George H.W.",republican,241974
1992,West Virginia,"Perot, Ross",independent,108829
1992,West Virginia,"Marrou, Andre",libertarian,1873
1992,Wisconsin,"Clinton, Bill",democrat,1041066
1992,Wisconsin,"Bush, George H.W.",republican,930855
1992,Wisconsin,"Perot, Ross",independent,544479
1992,Wisconsin,Other,independent,7518
1992,Wisconsin,"Marrou, Andre",libertarian,2877
1992,Wisconsin,"Daniels, Ron",labor-farm-laborista-agrario,1833
1992,Wisconsin,"Hagelin, John",natural law,1070
1992,Wisconsin,Blank Vote/Scattering,,961
1992,Wisconsin,"Hem, Roland",third party,405
1992,Wyoming,"Bush, George H.W.",republican,79347
1992,Wyoming,"Clinton, Bill",democrat,68160
1992,Wyoming,"Perot, Ross",independent,51263
1992,Wyoming,"Marrou, Andre",libertarian,844
1992,Wyoming,"Fulani, Lenora",independent,270
1996,Alabama,"Dole, Robert",republican,769044
1996,Alabama,"Clinton, Bill",democrat,662165
1996,Alabama,,independent,95030
1996,Alabama,"Browne, Harry",libertarian,5290
1996,Alabama,"Hagelin, John",natural law,1697
1996,Alabama,,,1123
1996,Alaska,"Dole, Robert",republican,122746
1996,Alaska,"Clinton, Bill",democrat,80380
1996,Alaska,"Perot, Ross",reform party,26333
1996,Alaska,"Nader, Ralph",green,7597
1996,Alaska,"Browne, Harry",libertarian,2276
